392,438
392,437
392,437
391,437
392,437
391,436
390,436
391,436
391,436
390,435
390,435
391,435
391,435
391,434
392,436
392,436
392,436
392,436
392,436
391,435
391,435
391,435
391,435
392,436
391,435
391,435
391,436
391,435
391,436
391,436
392,436
392,436
392,436
392,438
392,437
392,437
391,437
392,437
391,436
390,436
391,436
391,436
390,435
390,435
391,435
391,435
391,434
392,436
392,436
392,436
392,436
392,436
391,435
391,435
391,435
391,435
392,436
391,435
391,435
391,436
391,435
391,436
391,436
392,436
392,436
392,436
392,437
392,437
392,436
392,436
392,436
391,435
391,435
391,435
392,436
391,435
391,435
390,435
390,434
389,433
388,433
387,432
387,432
385,431
384,431
383,428
383,427
382,425
380,423
380,423
379,422
378,422
377,420
376,419
374,418
372,418
369,413
368,411
366,411
366,410
364,408
362,407
362,406
360,405
360,404
357,401
354,398
353,397
352,396
351,394
351,393
345,387
343,385
339,383
339,381
337,380
334,378
333,375
332,374
330,373
329,370
328,369
328,367
327,367
326,367
321,363
320,362
319,361
319,361
317,358
316,358
315,356
315,356
314,356
314,356
313,356
311,353
310,352
309,351
308,349
308,348
307,348
306,347
305,346
305,345
305,343
302,342
298,337
297,337
294,335
291,333
290,332
290,332
288,329
286,328
285,326
284,325
283,323
282,322
280,321
280,321
279,320
278,319
278,319
278,319
277,318
276,317
276,317
277,317
276,317
276,317
272,313
272,313
272,313
272,313
271,312
271,311
271,312
271,311
269,311
268,310
266,308
265,308
264,307
262,306
260,303
259,301
258,299
256,297
255,297
253,295
253,294
253,292
252,292
248,288
247,287
247,287
246,286
243,283
241,282
241,282
240,282
239,282
238,281
238,280
238,279
237,278
236,279
236,277
235,277
235,277
234,276
234,275
234,275
234,275
233,274
233,273
233,274
392,438
392,437
392,437
391,437
392,438
392,437
392,437
391,437
392,437
391,436
390,436
391,436
391,436
390,435
390,435
